"428967","0062","792","GBKK    ","VISA    ","C"
"428968","0062","792","GBKK    ","VISA    ","C"
"431024","0205","792","YIVKK   ","VISA    ","C"
"431379","0111","792","YIVDK   ","VISA    ","D"
"432071","0046","792","YIVKK   ","VISA    ","C"
"432072","0046","792","YIVKK   ","VISA    ","C"
"432284","0203","792","YIVKK   ","VISA    ","C"
"432285","0203","792","YIVKK   ","VISA    ","C"
"433383","0059","792","YIVKK   ","VISA    ","C"
"433384","0059","792","YIVKK   ","VISA    ","C"
"435508","0046","792","YIVKK   ","VISA    ","C"
"435509","0046","792","YIVKK   ","VISA    ","C"
"435627","0900","792","YIVKK   ","VISA    ","C"
"435628","0900","792","YIVKK   ","VISA    ","C"
"435629","0204","792","YIVDK   ","VISA    ","D"
"435653","0111","792","YIVKK   ","VISA    ","C"
"438040","0071","792","YIVKK   ","VISA    ","C"
"440247","0032","792","YIVKK   ","VISA    ","C"
"440273","0032","792","YIVKK   ","VISA    ","C"
"440274","0032","792","YIVDK   ","VISA    ","D"
"440293","0032","792","TEBONUS ","VISA    ","C"
"440294","0032","792","YIVKK   ","VISA    ","C"
"440295","0032","792","YIVDK   ","VISA    ","D"
"440776","0056","792","YIVDK   ","VISA    ","D"
"441139","0134","792","YIVKK   ","VISA    ","C"
"442106","0067","792","YIVDK   ","VISA    ","D"
"444029","0111","792","YIVKK   ","VISA    ","C"
"444676","0010","792","YIVKK   ","VISA    ","C"
"444677","0010","792","YIVKK   ","VISA    ","C"
"444678","0010","792","YIVKK   ","VISA    ","C"
"445988","0109","792","YIVDK   ","VISA    ","D"
"446212","0067","792","YIVKK   ","VISA    ","C"
"447503","0071","792","YIVDK   ","VISA    ","D"
"447504","0010","792","YIVDK   ","VISA    ","D"
"447505","0012","792","YIVDK   ","VISA    ","D"
"448472","0062","792","GBKK    ","VISA    ","C"
"450050","0092","792","YIVKK   ","VISA    ","C"
"450051","0092","792","YIVKK   ","VISA    ","C"
"450634","0067","792","YIVKK   ","VISA    ","C"
"450803","0064","792","YIVKK   ","VISA    ","C"
