"KAŞOBASI","VILLAGE","ADANA","YÜREĞİR","471","35.512034","37.175154"
"KEPEZTEPE","VILLAGE","ADANA","YÜREĞİR","313","35.373374","37.183787"
"KILBAŞ","VILLAGE","ADANA","YÜREĞİR","390","35.338279","37.155118"
"KILIÇLI","VILLAGE","ADANA","YÜREĞİR","1706","35.454498","37.079075"
"KIZILKAŞ","VILLAGE","ADANA","YÜREĞİR","1413","35.463244","37.103951"
"KÖKLÜCE","VILLAGE","ADANA","YÜREĞİR","925","35.423121","36.939552"
"MALTEPE","VILLAGE","ADANA","YÜREĞİR","273","35.432388","37.216542"
"MENEKŞE","VILLAGE","ADANA","YÜREĞİR","234","35.35133","37.082149"
"MUSTAFALAR","VILLAGE","ADANA","YÜREĞİR","931","35.509699","37.113511"
"MUTLU","VILLAGE","ADANA","YÜREĞİR","915","35.387766","37.00116"
"SARIÇAM","VILLAGE","ADANA","YÜREĞİR","774","35.507058","37.151281"
"SOFULU","VILLAGE_WITH_MUNICIPALITY","ADANA","YÜREĞİR","19239","35.417309","37.050741"
"TURUNÇLU","VILLAGE","ADANA","YÜREĞİR","394","35.437125","37.171231"
"YAĞIZLAR","VILLAGE","ADANA","YÜREĞİR","937","35.545192","37.232633"
"YUKARIÇİÇEKLİ","VILLAGE","ADANA","YÜREĞİR","391","35.388372","36.917392"
"DOĞANKENT","SUBDISTRICT","ADANA","YÜREĞİR","11136","35.336075","36.844436"
"AĞZIBÜYÜK","VILLAGE","ADANA","YÜREĞİR","259","35.450934","36.86252"
"AKDAM","VILLAGE","ADANA","YÜREĞİR","212","35.444263","36.801354"
"AYDINCIK","VILLAGE","ADANA","YÜREĞİR","191","35.298407","36.864233"
"ÇAĞIRGAN","VILLAGE","ADANA","YÜREĞİR","788","35.303571","36.783065"
"ÇİNE","VILLAGE","ADANA","YÜREĞİR","211","35.26145","36.797478"
"DANİŞMENT","VILLAGE","ADANA","YÜREĞİR","356","35.447332","36.825731"
"DENİZKUYUSU","VILLAGE","ADANA","YÜREĞİR","175","35.299921","36.84417"
"HACIALİ","VILLAGE","ADANA","YÜREĞİR","1010","35.262259","36.815216"
"HAVUTLU","VILLAGE_WITH_MUNICIPALITY","ADANA","YÜREĞİR","4774","35.34349","36.926991"
"IRMAKBAŞI","VILLAGE","ADANA","YÜREĞİR","399","35.230507","36.823493"
"KADIKÖY","VILLAGE","ADANA","YÜREĞİR","317","35.260331","36.764266"
"KARAAHMETLİ","VILLAGE","ADANA","YÜREĞİR","460","35.193368","36.807815"
"KAYIRLI","VILLAGE","ADANA","YÜREĞİR","203","35.376018","36.88791"
"PAŞAKÖY","VILLAGE","ADANA","YÜREĞİR","218","35.410617","36.811264"
"SAĞDIÇLI","VILLAGE","ADANA","YÜREĞİR","164","35.442762","36.844452"
"SOLAKLI","VILLAGE_WITH_MUNICIPALITY","ADANA","YÜREĞİR","6073","35.335262","36.806486"
"ŞAHİNAĞA","VILLAGE","ADANA","YÜREĞİR","173","35.398035","36.802987"
"ŞEYHMURAT","VILLAGE","ADANA","YÜREĞİR","899","35.430233","36.860566"
"YENİKÖY","VILLAGE","ADANA","YÜREĞİR","160","35.226091","36.78484"
"YERDELEN","VILLAGE","ADANA","YÜREĞİR","92","35.243123","36.83716"
"YUNUSOĞLU","VILLAGE_WITH_MUNICIPALITY","ADANA","YÜREĞİR","4179","35.278414","36.814443"
"ZAĞARLI","VILLAGE","ADANA","YÜREĞİR","182","35.367054","36.780558"
"YAKAPINAR","SUBDISTRICT","ADANA","YÜREĞİR","5453","35.609904","36.956531"
"ABDİOĞLU","VILLAGE_WITH_MUNICIPALITY","ADANA","YÜREĞİR","3137","35.563971","36.909117"
"AKPINAR","VILLAGE","ADANA","YÜREĞİR","716","35.605772","36.816393"
"AVCILAR","VILLAGE","ADANA","YÜREĞİR","794","35.60995","37.123213"
"AYDINYURDU","VILLAGE","ADANA","YÜREĞİR","580","35.550105","37.116603"
"BAKLALI","VILLAGE_WITH_MUNICIPALITY","ADANA","YÜREĞİR","3346","35.632912","37.035335"
"BELÖREN","VILLAGE","ADANA","YÜREĞİR","973","35.558698","36.811202"
"BÜYÜKKAPILI","VILLAGE","ADANA","YÜREĞİR","306","35.566796","36.873226"
"CİHADİYE","VILLAGE","ADANA","YÜREĞİR","1757","35.562517","37.052027"
"ÇAMLICA","VILLAGE","ADANA","YÜREĞİR","334","35.613986","37.078143"
"ÇATALPINAR","VILLAGE","ADANA","YÜREĞİR","950","35.573058","36.824831"
"ÇELEMLİ","VILLAGE_WITH_MUNICIPALITY","ADANA","YÜREĞİR","2293","35.645295","36.849466"
"ESENLER","VILLAGE","ADANA","YÜREĞİR","247","35.496357","36.814669"
"GEÇİTLİ","VILLAGE_WITH_MUNICIPALITY","ADANA","YÜREĞİR","2579","35.625659","36.951706"
"GÖKBÜVET","VILLAGE","ADANA","YÜREĞİR","287","35.548803","37.130703"
"GÜVELOĞLU","VILLAGE","ADANA","YÜREĞİR","312","35.601069","36.844199"
"HASANBEYLİ","VILLAGE","ADANA","YÜREĞİR","489","35.538464","37.05047"
"HEREKLİ","VILLAGE","ADANA","YÜREĞİR","175","35.540221","36.863041"
"KAŞLICA","VILLAGE","ADANA","YÜREĞİR","505","35.619535","36.873437"
"KÜRKÇÜLER","VILLAGE_WITH_MUNICIPALITY","ADANA","YÜREĞİR","6628","35.511606","36.986244"
"KÜTÜKLÜ","VILLAGE","ADANA","YÜREĞİR","353","35.524127","36.826885"
"SULUCA","VILLAGE_WITH_MUNICIPALITY","ADANA","YÜREĞİR","2781","35.568189","36.974445"
"ÜNLÜCE","VILLAGE","ADANA","YÜREĞİR","325","35.659243","37.071358"
"VAYVAYLI","VILLAGE","ADANA","YÜREĞİR","402","35.631723","36.902855"
"YARIMCA","VILLAGE","ADANA","YÜREĞİR","801","35.563974","37.074255"
"YENİYAYLA","VILLAGE","ADANA","YÜREĞİR","852","35.554786","37.104131"
"ALADAĞ","DISTRICT","ADANA","ALADAĞ","6674","35.394026","37.547124"
"AKÖREN","VILLAGE_WITH_MUNICIPALITY","ADANA","ALADAĞ","4211","35.444524","37.454752"
"BOZTAHTA","VILLAGE","ADANA","ALADAĞ","384","35.459784","37.367994"
"BÜYÜKSOFULU","VILLAGE","ADANA","ALADAĞ","1656","35.19589","37.560523"
"CERİTLER","VILLAGE","ADANA","ALADAĞ","1196","35.414532","37.464906"
"DARILIK","VILLAGE","ADANA","ALADAĞ","170","35.449226","37.584585"
"DAYILAR","VILLAGE","ADANA","ALADAĞ","208","35.482164","37.458569"
"DÖLEKLİ","VILLAGE","ADANA","ALADAĞ","768","35.305496","37.590097"
"EĞNER","VILLAGE","ADANA","ALADAĞ","433","35.452966","37.424655"
"GERDİBİ","VILLAGE","ADANA","ALADAĞ","1071","35.154401","37.513003"
"GÖKÇE","VILLAGE","ADANA","ALADAĞ","310","35.519467","37.534468"
"İBRİŞİM","VILLAGE","ADANA","ALADAĞ","176","35.3331","37.528297"
"KABASAKAL","VILLAGE","ADANA","ALADAĞ","270","35.341686","37.558217"
"KARAHAN","VILLAGE","ADANA","ALADAĞ","348","35.523315","37.594975"
"KICAK","VILLAGE","ADANA","ALADAĞ","867","35.224014","37.566938"
"KIŞLAK","VILLAGE","ADANA","ALADAĞ","345","35.530766","37.604492"
"KIZILDAM","VILLAGE","ADANA","ALADAĞ","553","35.473171","37.534626"
"KÖKEZ","VILLAGE","ADANA","ALADAĞ","1081","35.281109","37.583309"
"KÖPRÜCEK","VILLAGE","ADANA","ALADAĞ","466","35.550501","37.660418"
"KÜP","VILLAGE","ADANA","ALADAĞ","88","35.492505","37.687295"
"MADENLİ","VILLAGE","ADANA","ALADAĞ","126","35.320765","37.448902"
"MAZILIK","VILLAGE","ADANA","ALADAĞ","108","35.456023","37.48719"
"TOPALLI","VILLAGE","ADANA","ALADAĞ","360","35.472027","37.318804"
"UZUNKUYU","VILLAGE","ADANA","ALADAĞ","218","35.469634","37.492208"
"YAĞBASAN","VILLAGE","ADANA","ALADAĞ","426","35.24355","37.490593"
